,Dept,Number,Course_Name,Professor,Start_Time,End_Time,Location,Description,Pre/coreqs,Offered,Dept + Number,Class_Name,professor,median,semester,size,notes,SemesterN
1828,FGSS,2560,Black Queer Writing and Media,Chelsea Frazier,02:45PM,04:00PM,To Be Assigned,"This course will introduce students to Black Queer literatures and media. Since these materials decenter whiteness and patriarchal heterosexism, they often seem illegible to those approaching them from the perspective of the dominant culture. We will start with foundational texts that outline the parameters of our dominant culture. We will then discuss Black Queer contemporary novels, films, essays, and visual art in order to understand the ways that these works move past the limitations of those parameters. By engaging these literatures and media, this course investigates the exciting possibilities that emerge from understanding alternative ways of being and living in our world. This course satisfies the Literatures of the Americas requirement for English majors.",,Spring.,FGSS 2560,,,,,,,
1829,FGSS,2575,Tyranny and Dignity: Chinese Women from the Cultural Revolution to Hong Kong Protests,Peidong Sun,01:00PM,02:15PM,To Be Assigned,"This lecture course focus on the human condition of Chinese women after 1949. In the name of the Women's liberation movement since the early 1900s, do Chinese women eventually hold up the half sky? From the cradle to the grave, what was most challenging in women's life? How did political, economic, and cultural forces frame women's professional careers and private life? No judgments nor imaginations. Using multi-media, such as Chinese independent documentary films, music, and photographs, students will discover the hidden stories behind the mainstream narratives. Workshops with film directors, pop music singers, and photographers offer students an unusual way of accessing all backstage field experiences.",,,FGSS 2575,,,,,,,
1830,FGSS,2770,Islam and Gender,Seema Golestaneh,09:40AM,10:55AM,To Be Assigned,"This course explores the role of gender and sexuality in shaping the lives of Muslims past and present. Through a close examination of ethnographies, intellectual histories, and religious treatises, we will analyze the key debates and discourses surrounding the intersection of gender and Islam. We begin by investigating Quranic revelations and hadith concerning gender and sexual ethics, female figures of emulation in early Islam, and feminist exegeses of the Quran. Continuing onward, we focus upon the everyday lives of Muslim women and non-binary individuals in medieval, colonial, and post-colonial contexts, highlighting the ways in which people negotiate and respond to the sexual politics of the times in which they live as we ask what, if anything, is specifically ""Islamic"" about the situations under discussion? Following this, we embark upon a history of sexuality within Islam, tracing the ways in which the categories of ""homosexuality"" and ""heterosexuality"" came to exist in the Muslim world, as well as the history and positionality of trans communities past and present. We then continue with an exploration of Islamic feminism as it exists today, looking to the ways in which Muslim feminists have critically engaged both religious texts as well as Western feminist theory. Finally, the course concludes by analyzing the relationship between the study of Islam, gender, and empire.",,Spring.,FGSS 2770,,,,,,,
1831,FGSS,2806,Roman Law,Nicole Giannella,01:30PM,02:20PM,To Be Assigned,"This course presents a cultural and historical perspective on ideas of agency, responsibility, and punishment through foundational texts of western law. We will primarily focus on three main areas of law: (1) slavery and (2) family (both governed by the Roman law of persons), and (3) civil wrongs (the law of delict or culpable harm). Through an examination of the legal sources (in translation) and the study of the reasoning of the Roman jurists, this course will examine the evolution of jurisprudence: the development of the laws concerning power over slaves and women, and changes in the laws concerning penalties for crimes. No specific prior knowledge needed.",,Spring.,FGSS 2806,,,,,,,
1832,FGSS,2932,Engendering China,Yue Du,09:40AM,10:55AM,To Be Assigned,"In contemporary China, as in many other places of the world, the ideology and social reality of gender relations is highly paradoxical. Women are flattered for their power as consumers and commitment to the family while they are also expected to engage in wage-earning employment. Men, on the other hand, face constant pressure of being tough and social problems such as costly betrothal gifts as unintended consequences of a gender regime that is supposedly male-oriented. Are these paradoxes a betrayal of the socialist experiment of erasing gender differences? Are they remnants of China's long imperial tradition? This course explores the power dynamics of gender relations in China from ancient times to the present. It leads students to examine scholarship that challenges the popularly accepted myth of lineal progression of China toward gender equality, and to understand women's and men's life choices in various historical settings. At the same time, this course guides students to adopt ""gender"" as a useful analytical category, treating China as a case study through which students are trained to ""engender"" any society past and present.",,Spring.,FGSS 2932,,,,,,,
1833,FGSS,3206,Black Women and Political Leadership,Carole Boyce Davies,11:25AM,12:40PM,Statler Hall 394,,,,FGSS 3206,,,,,,,
1834,FGSS,3210,Gender and the Brain,Shelby Dietz,02:45PM,04:00PM,Corson-Mudd W364,"Why are boys more likely than girls to be diagnosed with autism, and why are women more likely than men to be diagnosed with depression? Are there different ""gay"" and ""straight"" brains? And how does brain science interact with gender and sexuality in popular debate? Reading and discussing the original scientific papers and related critical texts, we will delve into the neuroscience of gender. In this course, we will delve into the neuroscience of gender difference. Reading the original scientific papers and related critical texts, we will ask whether we can find measurable physical differences in male and female brains, and what these differences might be. Do men and women solve spatial puzzles differently, as measured physiologically? Do nonhuman animals display sex-specific behaviors mediated by brain structure, and can we extrapolate these findings to human behavior? Why are boys three times more likely than girls to be diagnosed as autistic, and is there any connection between the predominantly male phenomenon of autism and other stereotypically male mental traits? Are there physical representations of sexual orientation in the brain, and how are these related to gender identity? And how are scientific studies represented and misrepresented in popular debate?","Prerequisite: BIONB 2220, BIOMG 3320, FGSS 2010, and LGBT 2290 or permission of instructor.",Spring.,FGSS 3210,,,,,,,
1835,FGSS,3310,Afro-Asia: Futurism and Feminism,Tao Goffe,10:10AM,11:25AM,To Be Assigned,"This course explores cultural representations of Afro-Asian intimacies and coalition in novels, songs, films, paintings, and poems. What affinities, loves and thefts, and tensions are present in cultural forms such as anime, jazz, kung fu, and K-pop? Students will consider the intersections and overlap between African and Asian diasporic cultures in global cities such as New York, Chicago, Havana, Lahore, Kingston, and Hong Kong to ask the question: when did Africa and Asia first encounter each other? This will be contextualized through a political and historical lens of the formation of a proto-Global South in the early twentieth, Afro-futurism, women of color feminisms, and Third World solidarity and internationalism. Tackling issues of race, gender, sexuality, and resistance, this seminar also reckons with the intertwined legacies of the institutions of African enslavement and Asian indenture by reading the novels of Patricia Powell and the paintings of Kehinde Wiley, for instance. Students will work in groups to produce Afro-Asia DJ visual soundtracks as part of the final project.",,Spring.,FGSS 3310,,,,,,,
1836,FGSS,3320,Gender and Psychopathology,Lauren Korfine,11:25AM,12:40PM,To Be Assigned,"This course examines the ways in which sex and gender impact the expression of severe psychopathology. We will study biological, psychological, and cultural factors associated with sex and gender as they influence the epidemiology, phenomenology, etiology, diagnosis, and course of illness in major forms of psychopathology: specifically, schizophrenia, major affective illness, anxiety disorders, eating disorders, and personality disorders. We will also examine the complicated roles of race, class, sexuality, and gender identity as they relate to these conditions. These topics will be examined through the frameworks of psychological science and feminism in an attempt to understand the effects that gender and science have on one another and the ways in which they influence the understanding of mental illness.",Prerequisite: HD 3300 or PSYCH 3250.,Spring.,FGSS 3320,,,,,,,
1837,FGSS,3565,Black Ecoliterature,Chelsea Frazier,11:25AM,12:40PM,To Be Assigned,"Mainstream media would have us believe that driving a new Toyota Prius, recycling, and shopping ""clean"" at Whole Foods would make us all food environmentalists, right? Additionally, climate change and environmental degradation are often discussed as if they are phenomena that affect us all equally. Despite these dynamics, research in recent years tells us that while there might be some general ways that we experience our constantly changing physical environments—race, gender, and location very much affect how we experience ""Nature."" In this course we will use literature from across the African diaspora to investigate how looking at race, gender, and location produces very different ideas about environment, environmentalism, and ""Nature"" itself.",,Fall or Spring.,FGSS 3565,,,,,,,
1838,FGSS,3693,"Race and Slavery, Old and Modern",Parisa Vaziri,02:40PM,04:35PM,To Be Assigned,"What does it mean to live in the aftermath of slavery? How has the human history of slavery contributed to the production of ""natural"" values that we take for granted—such as community, property, citizenship, gender, individuality, and freedom? This course explores the history of enslavement throughout the human past, from the ancient world to the modern era. We will pay particular attention to the relationship between slavery and the construction of racial blackness. We will explore various institutionalized forms of servitude throughout time and space, from the Indian Ocean to the Atlantic worlds, from eunuchism to concubinage, from slavery in the Roman Empire to ""modern slavery"" and sex trafficking. Readings will be in English and will engage a variety of dynamic sources: theoretical, historiographical, anthropological, religious, legal, literary and multimedia.",,Spring.,FGSS 3693,,,,,,,
1839,FGSS,3702,Desire and Cinema,Ellis Hanson,02:45PM,04:00PM,To Be Assigned,"""The pleasure of the text,"" Roland Barthes writes, ""is that moment when my body pursues its own ideas—for my body does not have the same ideas I do."" What is this erotics of the text, and what has it been up to lately at the movies? Are new movies giving our bodies new ideas?  In the context of the changing art of the moving image in the 21st-century, how might we read and revise classic works of psychoanalytic, feminist, and queer theory on erotic desire and cinema? We will focus especially on relatively recent metacinematic work, moviemaking about moviemaking, by such directors as Pedro Almodóvar, Olivier Assayas, Michael Haneke, Todd Haynes, David Lynch, Steve McQueen, and John Cameron Mitchell.",,Fall or Spring.,FGSS 3702,,,,,,,
1840,FGSS,3991,Undergraduate Independent Study,Jane Juffer,,,,Individual study program intended for juniors and seniors working on special topics with selected reading or research projects not covered in regularly scheduled courses. Students select a topic in consultation with a FGSS faculty member who has agreed to supervise the independent study.,"Prerequisite: FGSS 2010 or FGSS 3000, and one additional 3000-level FGSS course.",Spring.,FGSS 3991,,,,,,,
1841,FGSS,4000,"Senior Seminar in Feminist, Gender, and Sexuality Studies",Lucinda Ramberg,11:20AM,01:15PM,Rockefeller Hall 190,"This senior seminar constitutes the culmination of the FGSS major-it provides a unique opportunity to come together with all the other FGSS seniors to both put to use what has been learned and explore new aspects of feminist, gender, and sexuality studies. In this particular seminar, we will attempt to answer, in short, the question of what it means to be a feminist today, at this point in time and place. Pursuing the intersections of theory and practice, we will explore issues and concerns in the areas that you have identified as central to your concept and/or critique of feminism.",,Spring.,FGSS 4000,,,,,,,
1842,FGSS,4023,Black and Indigenous Histories,Michell Chresfield,02:30PM,04:25PM,To Be Assigned,"What does it mean to be Black and Indigenous? For much of United States history, at least, to be Black and Indigenous was a legal if not social impossibility. Even as societies around the world have embraced the pluralism of multiraciality Black-Indigenous peoples have found themselves largely absent from both historical and contemporary conversations surrounding blackness and indigeneity. This course does the important work of excavating the histories of Black and Indigenous peoples in the Americas. We will do so by examining case studies alongside the writing and artwork of Black-Indigenous figures in order to understand more about the relationships, politics, and meanings of Black-Indigenous identity.",,,FGSS 4023,,,,,,,
1843,FGSS,4035,Intersectional Disability Studies,LaWanda Cook,02:45PM,04:00PM,To Be Assigned,"A recognition of the importance of intersectionality has become increasingly key to not only understand the complexity of social identity and lived experience, but to combat discrimination and oppression. While the course has a centering focus on the disability experience-in part because of the way in which disability is often left out of intersectional considerations-it will reveal how the economic, legal, and political structures of power and privilege that disadvantage people with disabilities cannot be looked at on a disability-specific basis alone. Thus we will give necessary attention to the disability experience as it overlaps and connects with lived experiences of race, ethnicity, gender, gender identity, sexual orientation, socioeconomic status, and citizenship, among others. In looking particularly at the realms of employment, education, the law, and health care, we will explore the efficacy of legal and policy initiatives that are already in place, and in doing so, strongly consider the growing need for, and value of, intersectional approaches to discrimination and oppression.                                                       ",,Spring.,FGSS 4035,,,,,,,
1844,FGSS,4292,Sexual Identities and the Media,Katherine Sender,01:00PM,02:15PM,To Be Assigned,"What spaces are available for imagining non-normative sexualities and non-binary genders in mainstream and alternative media? This class moves beyond a simple consideration of how lesbians, gays, bisexuals, transgender and queer people have been represented in the mainstream media to consider how media offer LGBTQ people alternative platforms for queer world-making. Further, this course is an exploration in our own queer world-making. Each assignment asks you to create a visual work that engages with materials from the class and from popular and queer media. This course is not about making ""good"" or ""pretty"" art, but about using creative processes to think differently—queerly—about LGBTQ representations. This class guides an adventure in looking differently at the world, including the media world, through the practice of queer making.",,"Fall, Spring.",FGSS 4292,,,,,,,
1845,FGSS,4491,Feminism and Philosophy,Kate Manne,11:20AM,01:15PM,To Be Assigned,"Feminist approaches to questions in metaphysics, epistemology, language, and value theory.",Prerequisite: one philosophy course or one course in feminist theory (FGSS).,Spring.,FGSS 4491,,,,,,,
1846,FGSS,4504,The City: Asia,Arnika Fuhrmann,02:40PM,04:35PM,To Be Assigned,"This course uses the lens of temporality to track transformations in notions of urban personhood and collective life engendered by recent trans-Asia economic shifts. We will develop tools that help unpack the spatial and cultural forms of density and the layered histories that define the contemporary urban fabric of cities such as Hanoi, Bangkok, Shanghai, and Hong Kong. The course combines the investigation of the cinemas and literatures of the region with the study of recent writing on cities from Asian studies, film studies, queer theory, urban studies, political theory, religious studies, cultural geography, literary theory, and anthropology.",,Spring.,FGSS 4504,,,,,,,
1847,FGSS,4701,Nightlife,Karen Jaime,01:00PM,02:15PM,To Be Assigned,"This course explores nightlife as a temporality that fosters countercultural performances of the self and that serves as a site for the emergence of alternative kinship networks.  Focusing on queer communities of color, course participants will be asked to interrogate the ways in which nightlife demonstrates the queer world-making potential that exists beyond the normative 9-5 capitalist model of production. Performances of the everyday, alongside films, texts, and performance art, will be analyzed through a performance studies methodological lens.  Through close readings and sustained cultural analysis, students will acquire a critical understanding of the potentiality of spaces, places, and geographies codified as ""after hours"" in the development of subcultures, alternative sexualities, and emerging performance practices.",,Spring.,FGSS 4701,,,,,,,
1848,FGSS,4845,"Labor, Race, and Gender",Kate Bronfenbrenner,01:00PM,02:15PM,To Be Assigned,"The majority of existing union members are women and workers of color, and, since the mid-1980s, the majority of newly organized workers have been women of color, particularly black women and recent immigrants from Latin America. Yet, with the exception of just a handful of unions, the labor movement still has been slow to build on this support and enthusiasm. This course will focus on the challenges and possibilities created by the changing demographics of race and gender in the contemporary labor movement. Through a combination of readings, small group discussions, guest speakers, and library and on line research, short essays and one longer research paper; the course will examine these issues from an historical, demographic, labor relations, and sociological perspective.",,Spring.,FGSS 4845,,,,,,,
1849,FGSS,4991,Senior Honors Thesis II,Jane Juffer,,,,"To graduate with honors, FGSS majors must complete a senior thesis under the supervision of an FGSS faculty member and defend that thesis orally before an honors committee. To be eligible for honors, students must have at least a cumulative GPA of 3.3 in all course work and a 3.5 average in all courses applying to their FGSS major. Students interested in the honors program should consult the DUS late in the spring semester of their junior year or very early in the fall semester of their senior year.",,Spring.,FGSS 4991,,,,,,,
1850,FGSS,6504,The City: Asia,Arnika Fuhrmann,02:40PM,04:35PM,To Be Assigned,"This course uses the lens of temporality to track transformations in notions of urban personhood and collective life engendered by recent trans-Asia economic shifts. We will develop tools that help unpack the spatial and cultural forms of density and the layered histories that define the contemporary urban fabric of cities such as Hanoi, Bangkok, Shanghai, and Hong Kong. The course combines the investigation of the cinemas and literatures of the region with the study of recent writing on cities from Asian studies, film studies, queer theory, urban studies, political theory, religious studies, cultural geography, literary theory, and anthropology.",,Spring.,FGSS 6504,,,,,,,
1851,FGSS,6561,Politics and Joy in Black Women's Writing,Lenora Warren,12:25PM,02:20PM,To Be Assigned,"This course will look at how Black women writers negotiated enslavement, Reconstruction, and Jim Crow era segregation while also managing to find avenues of joy, escapism, and a certain kind of freedom through art-making. In addition to reading primary texts by Phillis Wheatley, Hannah Bond, Jessie Redmon Fauset, and others we will also look at critical and theoretical work by Hortense Spillers, Saidiyah Hartman, Barbara Fields, and Karen Fields.",,Fall or Spring.,FGSS 6561,,,,,,,
1852,FGSS,6610,Erotics of Visuality,Ellis Hanson,12:25PM,02:20PM,To Be Assigned,"""You didn't see anything,"" a woman in a movie says to her dubious lover. ""No one sees anything. Ever. They watch, but they don't understand.""  What is desire in a movie, and how do we know it when we see it or feel it? How do the images, sounds, and narratives of a cinematic event engage us erotically? How might we want to revise classic psychoanalytic, feminist, and queer theories of desire and cinema in light of the changing art of the moving image in the 21st century? We will focus especially on metacinematic work by Pedro Almodóvar, Olivier Assayas, Todd Haynes, David Lynch, Michael Haneke, Steve McQueen, and John Cameron Mitchell, among others.",,Fall or Spring.,FGSS 6610,,,,,,,
1853,FGSS,6845,"Labor, Race, and Gender",Kate Bronfenbrenner,01:00PM,02:15PM,To Be Assigned,"The majority of existing union members are women and workers of color, and, since the mid-1980s, the majority of newly organized workers have been women of color, particularly black women and recent immigrants from Latin America. Yet, with the exception of just a handful of unions, the labor movement still has been slow to build on this support and enthusiasm. This course will focus on the challenges and possibilities created by the changing demographics of race and gender in the contemporary labor movement. Through a combination of readings, small group discussions, guest speakers, and library and on line research, short essays and one longer research paper; the course will examine these issues from an historical, demographic, labor relations, and sociological perspective.",,Spring.,FGSS 6845,,,,,,,
1854,FGSS,6880,"Proseminar in Feminist, Gender, and Sexuality Studies",Saida Hodzic,12:25PM,02:20PM,To Be Assigned,"This course offers an introduction to theoretical and practical aspects of the interdisciplinary field of Feminist, Gender and Sexuality Studies, providing graduate students with a range of disciplinary approaches and issues. We will explore both the disciplinary specifics of FGSS scholarship and the interdisciplinary breadth of gender/sexuality's reach as an analytic lens. While many of our graduate courses train students in highly specialized areas of feminist theory, this course aims to teach students how to find common intellectual ground from interdisciplinary perspectives without sacrificing the complexity of any disciplinary approach.",,Spring.,FGSS 6880,,,,,,,
1855,FGSS,6990,"Topics in Feminist, Gender, and Sexuality Studies",,,,,"Independent reading course for graduate students on topics not covered in regularly scheduled courses. Students develop a course of readings in consultation with a faculty member in the field of Feminist, Gender, &amp; Sexuality Studies who has agreed to supervise the course work.",,"Fall, Spring.",FGSS 6990,,,,,,,
1856,FINN,1122,Elementary Finnish II,,05:10PM,07:00PM,To Be Assigned,"The Elementary Finnish II course is designed for students with some prior knowledge of Finnish. Students have an opportunity to practice listening, reading, writing and speaking in Finnish. Students learn to provide information about their opinions and feelings, their families, their immediate environment and their daily activities.",,Spring.,FINN 1122,,,,,,,
1857,FREN,1220,Elementary French,Thierry Torea,10:10AM,11:00AM,To Be Assigned,"FREN 1210-1220 is a two-semester sequence. This is the second half of the sequence designed to provide a thorough grounding in French language and an introduction to intercultural competence. French is used in contextualized, meaningful, and critical thinking activities to provide practice in speaking, listening, reading, and writing. Development of analytical skills for grammar leads students toward greater autonomy as language learners. Students continue developing their writing skills by writing and editing compositions. Readings are varied and include literary texts and a short novel.",Prerequisite: FREN 1210 or LPF score of 37-44 or SAT II 410-480.,Spring.,FREN 1220,FREN 1220,Menard,A,SP21,76,,1.0
1858,FREN,1230,Continuing French,Elise Finielz,10:10AM,11:00AM,To Be Assigned,"FREN 1230 is an all-skills course designed to improve oral communication, listening comprehension, and reading ability, to establish a groundwork for correct writing, and to provide a substantial grammar review. The approach in the course encourages the student to see the language within the context of its culture.",Prerequisite: FREN 1220 or an LPF score of 45-55 or SAT II 490-590.,"Fall, Spring.",FREN 1230,,,,,,,
1859,FREN,2070,Medical French,Thierry Torea,12:25PM,01:15PM,To Be Assigned,"This course is specifically designed for premed students and students at large with an interest in medical related topics who wish to be better equipped with language skills that will enable them to convey more empathy and multicultural sensitivity while communicating with diverse patient populations throughout the Francophone world.  This course aims as well to prepare students to engage in global health equity and promote awareness of language barriers in today's medical field, both domestically and abroad. This is a mid-intermediate level course, and as such, it will continue to develop and reinforce writing, reading, speaking, listening and presentational skills via an array of communicative tasks based on real-life situations.","Prerequisite: FREN 1230, LPF score 56-64, SAT II 600-680, or AP French language 4, or CASE Q.",Spring.,FREN 2070,,,,,,,
1860,FREN,2090,French Intermediate Composition and Conversation I,Flavien Glidja,09:05AM,09:55AM,To Be Assigned,"This intermediate-level course is designed for students who want to focus on their speaking and writing skills. Emphasis is placed on strengthening of grammar skills, expansion of vocabulary and discourse levels to increase communicative fluency and accuracy. The course also provides continued reading and listening practice as well as development of effective language learning strategies.","Prerequisite: FREN 1230, LPF score 56-64, or SAT II 600-680 or AP French language 4, or CASE Q.","Fall, Spring.",FREN 2090,FREN 2090,Glidja,A-,SP22,58,,-1.0
1861,FREN,2095,French Intermediate Composition and Conversation II,Claire Menard,10:10AM,11:00AM,To Be Assigned,"This advanced-intermediate course is highly recommended for students planning to study abroad as it aims to develop the writing and speaking skills needed to function in a French speaking university environment. A comprehensive review of fundamental and advanced grammatical structures is integrated with the study of selected texts (short stories, literary excerpts, poems, articles from French periodicals, videos) all chosen for thematic or cultural interest. Students write weekly papers, participate in class discussions of the topics at hand, and give at least one oral presentation in class.","Prerequisite: FREN 2070, FREN 2080, or FREN 2090 or CASE Q+.","Fall, Spring.",FREN 2095,FREN 2095,Menard,A,FA21,20,,0.0
1862,FREN,2310,Introduction to French and Francophone Literature and Culture,Cary Howie,02:45PM,04:00PM,To Be Assigned,"This course, designed to follow FREN 2095, introduces students to an array of literary and visual material from the French and Francophone world.  It aims to develop students' proficiency in critical writing and thinking, as well as presenting students with the vocabulary and tools of literary and visual analysis.  Each section of FREN 2310 will have a different focus-for example, colonialism and the other, or the importance of women and sexual minorities in French and Francophone history, performance in literature and film, or image and narrative-but all sections of FREN 2310 will emphasize through writing assignments and in-class discussions, the development of those linguistic and conceptual tools necessary for cultural and critical fluency.",Prerequisite: FREN 2095 or CASE Q++ or permission of instructor required.,"Fall, Spring.",FREN 2310,,,,,,,
1863,FREN,2320,Introduction to French and Francophone Film,Claire Menard,09:05AM,09:55AM,To Be Assigned,"This course designed to follow FREN 2095, introduces students to key cinematic techniques used in analysis of films and to major movements in the twentieth century French cinema.  Students will view a broad range of French and Francophone films spanning from 1945-2004 that includes canonical as well as contemporary works.  Topics studied include: the evolution of gender representation in French and Franophone films, the depiction of decolonization, and the films de banlieu genre.  The class will combine discussion, presentations, class scene analysis and readings from journalistic and film criticism tets, and will be conducted in French.",Prerequisite: FREN 2095 or CASE Q++ or permission of instructor required.,Spring.,FREN 2320,FREN 2320,Menard,A,SP21,13,,1.0
1864,FREN,3040,"Digital Texts: Literature, Data, Politics",Marc Kohlbry,11:25AM,12:40PM,To Be Assigned,"We live in an age of algorithms wherein seemingly every aspect of life can be broken down, measured, and even sold as data. But how did we get here? And where are we going? This course privileges literature as a unique lens for exploring our digital past, present, and potential futures. In it, we will leverage an array of literary forms—from experimental prose and poetry to science fiction—to renew our understanding not only of the relationships between writing and so-called information technologies, but of such pressing issues as algorithmic bias, automation, neocolonialism, and digital labor. Literary and theoretical readings include texts by Hari Kunzru, Georges Perec, Gilles Deleuze, Achille Mbembe, Antoinette Rouvroy, Bernard Stiegler, and Donna Haraway, among others.",,Spring.,FREN 3040,,,,,,,
1865,FREN,3160,Translating French: Theory and Practice,Ti Alkire,12:25PM,01:15PM,To Be Assigned,"In this course, both seminar and workshop, students discuss writing about translation, mostly in French, and practice translating from French to English.  The theoretical texts studied represent a variety of perspectives and the French texts translated, a variety of literary and non-literary genres.  Students will investigate ways of addressing various types of difficulties they encounter in the process of translating across languages and cultures with the aim of developing their own principled approach to translating.",Prerequisite: FREN 2310 or CASE Q++ placement.,Spring.,FREN 3160,,,,,,,
1866,FREN,3320,"The Dark Side of French Absolutism: A Study of Religious Intolerance, Misogyny, Murder and Slavery",Mitchell Greenberg,01:00PM,02:15PM,To Be Assigned,"While the 17th century is extolled as the period of France's greatest cultural achievements (Architecutre-Versailles-, Theater, Painting, philosophy) as well as its military and political triumphs, we will explore the underside of these triumphs. Did the same social contract that aided these great works also contribute to religious intolerance (persecution of the Huguenots), witch hunting, the proliferation of poisoners, and the development of the infamous ""Code Noir"" which legalized and codified slavery in France's prosperous colonies (Haiti, Martinique, Louisiana)? We will read both some of the great literary production of the period as well as trial documents of witches, poisoners, religious tracts and, of course, the ""Code Noir"" to form a more balanced picture of the ""Splendid Century.""",Prerequisite: FREN 2310 or CASE Q++ or permission of instructor.,Spring.,FREN 3320,,,,,,,
1867,FREN,3400,French Identities: 21st Century Culture and Society in France,Magali Molinie,01:00PM,02:15PM,To Be Assigned,"This course is conceived as a critical introduction to a cultural and political debate that appeared in the years of Mitterrand's France and reached its climax in the last decade.  It will focus on a French society deeply shaped by immigration and globalization.  In which way do the youth of the ""banlieue"" - mostly formed by postcolonial Blacks and Muslims - create their own culture with the French culture?  How have literature, essays, movies, documentary films, ""national identity"" carried on by governments reacted to these transformations?  Selecting literary texts (by Maryse Condé, Zahia Rahmani, Adb El Malik) and other cultural productions, the course will explore the new expressions of France as an ""imagined community"".",Prerequisite: FREN 2310 or CASE Q++ or permission of instructor required.,Spring.,FREN 3400,,,,,,,
1868,FREN,3775,Future Past: Fantasy Fiction,Cary Howie,07:30PM,08:45PM,To Be Assigned,"This course will introduce students to the relationship between modern fantasy fiction and the Middle Ages. What kind of world is the world of quests and secret love affairs, swords and sorcery? We'll begin with the two main models for adventure stories in medieval French literature, the Song of Roland and Lancelot, before examing how they appear in modern literature and film. Along the way, we'll consider more familiar exchanges between medieval literture and modern allegory in the work of C.S. Lewis and J.R.R. Tolkien, and we'll ask what fantasy fiction allows us to fantasize about.",,Spring.,FREN 3775,,,,,,,
1869,FREN,3840,Occupied France Through Film,Mitchell Greenberg,02:45PM,04:00PM,To Be Assigned,"The Second World War and the Occupation of France by German forces had a traumatic impact on the nation's identity. We will examine the way France has tried to deal with this conflicted period through a series of films that each deal, directly or indirectly with the major questions posed by history to French ""memory"" of the Occupation. What was the role of collaboration, resistance, anti-Semitism, of writers and intellectuals during this traumtic period? How has film helped to define and re-shape the ways in which France has come to terms with its conflicted past?",,Fall.,FREN 3840,,,,,,,
1870,FREN,3921,Literary Theory on the Edge,Cathy Caruth,01:00PM,02:15PM,To Be Assigned,"This course examines a range of exciting and provocative 20th- and 21st- century theoretical paradigms for thinking about literature, language and culture. These approaches provide differing, though often overlapping, entryways into theoretical analysis, including structuralism and post-structuralism, translation studies, Black studies, Afro-Diasporic Studies, postcolonial and decolonial studies, performance studies, media theory and cinema/media studies, the digital humanities, psychoanalysis and trauma theory, gender studies and queer studies, studies of the Anthropocene/environmental studies, and animal studies. Occasional invited guests, lectures and class discussions will provide students with a facility for close textual analysis, a knowledge of major currents of thought in the humanities, and an appreciation for the uniqueness and complexity of language and media.",,Spring.,FREN 3921,,,,,,,
1871,FREN,4070,Madness Narratives and Pop Culture in 21st Century,Magali Molinie,02:45PM,04:00PM,To Be Assigned,"Madness fascinates, mental illness frightens. They are realms of scholarship as well as objects of practical knowledge and representation for the arts and the social actors themselves. This seminar aims to explore the ways in which people who are affected by psychological disorders and strive to face them, are depicted in the 20th and 21st century popular culture. What relationship exists between the medical understanding of these disorders and their portrayals in literature, recovery narratives, cinema, TV series and documentaries? Do contemporary pictures of madness in fiction contribute to demystify and destigmatize mental illness, or do they reinforce negative stereotypes? Are there differences between French fictions and American ones? This seminar will examine each oeuvre as a case study with the resources of critical studies.",Prerequisite: proficiency in French.,Spring.,FREN 4070,,,,,,,
1872,FREN,4200,Special Topics in French Literature,Laurent Dubreuil,,,,Guided independent study of special topics.,,Spring.,FREN 4200,,,,,,,
1873,FREN,4300,Honors Work in French,Laurent Dubreuil,,,,Consult director of undergraduate studies for more information.,Prerequisite: FREN 4290.,Spring.,FREN 4300,,,,,,,
1874,FREN,4368,Reading Édouard Glissant,Natalie Melas,02:40PM,04:35PM,To Be Assigned,"This seminar will focus on the writings of the polymorphous Martinican poet and thinker, Édouard Glissant (1928-2011).  We will attend to the historical context of French colonialism, particularly in the Caribbean, that gives his writing part of its impetus and to the anticolonial intellectuals with whom he engages (chiefly Aimé Césaire and Frantz Fanon) as well as to his major self-professed influences (William Faulkner, Saint-John Perse, Hegel) and to an array of interlocutors and fellow-travelers as well as a few dissenters. The seminar will examine the main preoccupations of Glissant's writing (world histories of dispossession and plantation slavery, creolization, Relation, opacity, flux, transversality, Caribbean landscapes as figures of thought, the All-World, etc.) but our focus will be on reading Glissant and attending carefully to the implications of his poetics and of his language for decolonial thought.",,Spring.,FREN 4368,,,,,,,
1875,FREN,6070,Madness Narratives and Pop Culture in 21st Century,Magali Molinie,02:45PM,04:00PM,To Be Assigned,"Madness fascinates, mental illness frightens. They are realms of scholarship as well as objects of practical knowledge and representation for the arts and the social actors themselves. This seminar aims to explore the ways in which people who are affected by psychological disorders and strive to face them, are depicted in the 20th and 21st century popular culture. What relationship exists between the medical understanding of these disorders and their portrayals in literature, recovery narratives, cinema, TV series and documentaries? Do contemporary pictures of madness in fiction contribute to demystify and destigmatize mental illness, or do they reinforce negative stereotypes? Are there differences between French fictions and American ones? This seminar will examine each oeuvre as a case study with the resources of critical studies.",Prerequisite: proficiency in French.,Spring.,FREN 6070,,,,,,,
1876,FREN,6300,French Reading for Graduates,Ti Alkire,02:40PM,03:30PM,To Be Assigned,"Designed for those with little or no background in French. Aims primarily to develop skill in reading French. Covers grammar basics, extensive vocabulary, and strategies for reading in a foreign language. Some flexibility in selecting texts according to fields of interest.",,Spring.,FREN 6300,,,,,,,
